,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1980,286.69452,286.57108,286.65973,286.66782,286.6199,286.6851,286.76767,286.617,286.6341,286.63434,286.67914,286.62552,286.5179,286.5037,286.49887,286.49374,286.46335,286.4369,286.55942,286.5167,286.51456,286.6345,286.49112,286.4788,286.4639,286.47162,286.5105,286.4716,286.4829,286.50717,286.51028,286.4578,286.65274,286.52924,286.5427,286.51193,286.5008,286.49307,286.4564,286.4601,286.51358,286.504,286.41577,286.61508,286.47693,286.46744,286.53467,286.4602,286.4802,286.40805,286.48776,286.41724,286.5004,286.52164,286.66003,286.52866,286.60233,286.60297,286.6587,286.58777
1981,286.74045,286.7043,286.67877,286.72635,286.69055,286.74026,286.77612,286.61853,286.60007,286.7654,286.66873,286.70264,286.63333,286.60013,286.58755,286.52554,286.57462,286.67862,286.57004,286.60385,286.562,286.6789,286.64624,286.51913,286.46606,286.55783,286.5776,286.56223,286.6314,286.45694,286.55576,286.49817,286.5504,286.69308,286.5664,286.61273,286.685,286.55255,286.5898,286.55707,286.58032,286.55963,286.43973,286.69376,286.45636,286.57333,286.62186,286.71054,286.70523,286.66376,286.6173,286.61417,286.72095,286.62323,286.7845,286.68167,286.6794,286.54346,286.7527,286.7627
1982,286.63364,286.5939,286.76883,286.53415,286.6249,286.86002,286.64554,286.64746,286.6295,286.63208,286.59912,286.6886,286.63376,286.5924,286.66,286.67166,286.57687,286.62747,286.63916,286.58408,286.4789,286.5795,286.58054,286.608,286.5458,286.66037,286.63556,286.6009,286.61212,286.605,286.74408,286.5192,286.55457,286.681,286.3448,286.64178,286.57642,286.43387,286.47763,286.47797,286.59738,286.58817,286.50998,286.5454,286.53098,286.43924,286.60648,286.8193,286.65402,286.6676,286.65805,286.65768,286.4968,286.5751,286.6937,286.66486,286.58908,286.46753,286.55103,286.7378
1983,286.51468,286.55875,286.58755,286.47263,286.5141,286.56564,286.47293,286.67856,286.5717,286.50366,286.61124,286.54916,286.4056,286.44647,286.58826,286.5004,286.5356,286.46793,286.5642,286.5073,286.53775,286.80075,286.4351,286.56653,286.48,286.3481,286.4942,286.48123,286.373,286.46063,286.57474,286.5795,286.62094,286.55075,286.4482,286.34012,286.50125,286.27353,286.36954,286.23203,286.49738,286.58926,286.51584,286.44232,286.59915,286.34573,286.43552,286.63144,286.47726,286.41388,286.4295,286.4026,286.4943,286.3773,286.4574,286.34726,286.52408,286.5093,286.43576,286.72513
1984,286.62796,286.6418,286.69284,286.59103,286.45908,286.49908,286.4752,286.6882,286.59714,286.4404,286.73178,286.54404,286.64273,286.4932,286.56558,286.62122,286.52173,286.48438,286.48148,286.53824,286.57446,286.69357,286.62888,286.69427,286.5901,286.4689,286.73975,286.57053,286.41165,286.62228,286.63776,286.56277,286.5374,286.4216,286.4316,286.52786,286.63977,286.36435,286.50577,286.53687,286.496,286.73907,286.53616,286.4429,286.4822,286.65805,286.5085,286.541,286.3934,286.50916,286.4391,286.47296,286.55807,286.55505,286.57706,286.48056,286.62637,286.53452,286.46033,286.5487
1985,286.6224,286.58917,286.63373,286.69717,286.6243,286.71146,286.47125,286.55093,286.5421,286.51938,286.58252,286.51468,286.72052,286.58786,286.6151,286.82425,286.53702,286.45773,286.58957,286.59677,286.60922,286.59824,286.8002,286.6927,286.46317,286.63562,286.65466,286.58084,286.6236,286.7186,286.61835,286.64078,286.5895,286.45325,286.7388,286.63205,286.56888,286.42587,286.64328,286.64658,286.4952,286.68387,286.59195,286.62943,286.57492,286.70273,286.65427,286.51865,286.3851,286.51782,286.49307,286.55685,286.42136,286.52405,286.63373,286.60254,286.62558,286.6487,286.53134,286.67374
1986,286.64066,286.56155,286.5988,286.71542,286.6841,286.77393,286.61972,286.5456,286.66245,286.5229,286.61777,286.50955,286.7128,286.44467,286.64597,286.74194,286.5314,286.49368,286.58163,286.77365,286.64114,286.57184,286.5986,286.55963,286.6073,286.63187,286.71307,286.7246,286.67758,286.66977,286.5425,286.72763,286.62256,286.46506,286.75903,286.5551,286.5188,286.53815,286.72592,286.62595,286.55118,286.62918,286.7699,286.6587,286.48645,286.5752,286.7299,286.56738,286.4512,286.57095,286.65967,286.52243,286.57333,286.57578,286.6061,286.60474,286.45013,286.63248,286.64655,286.69736
1987,286.73392,286.63098,286.68533,286.7933,286.59656,286.74777,286.57657,286.66934,286.6126,286.71378,286.6865,286.52625,286.71118,286.48468,286.72934,286.6836,286.6475,286.54913,286.64783,286.68307,286.69098,286.6348,286.5701,286.59628,286.7753,286.59457,286.68784,286.70242,286.52484,286.60098,286.4993,286.6622,286.78543,286.65558,286.7538,286.68427,286.60428,286.66672,286.74106,286.60492,286.5528,286.7876,286.7419,286.5587,286.568,286.67545,286.86285,286.58072,286.55246,286.5837,286.77115,286.84717,286.7039,286.58896,286.7302,286.6409,286.59503,286.5301,286.5954,286.62488
1988,286.76663,286.74515,286.70013,286.667,286.76382,286.6615,286.5346,286.7288,286.68008,286.85306,286.75012,286.50607,286.76584,286.48746,286.7115,286.82596,286.66476,286.60315,286.77274,286.69247,286.791,286.75906,286.58652,286.77963,286.80698,286.65207,286.522,286.6248,286.72916,286.68442,286.58325,286.66202,286.6481,286.7808,286.77658,286.77658,286.53552,286.73972,286.79526,286.55896,286.61838,286.87442,286.67966,286.6661,286.62027,286.55148,286.7854,286.7402,286.6268,286.74075,286.5521,286.7804,286.62216,286.81174,286.70364,286.61612,286.72388,286.66647,286.72244,286.69684
1989,286.79343,286.81522,286.74124,286.7113,286.99225,286.71317,286.61224,286.9628,286.753,286.76355,286.59677,286.72992,286.6487,286.60843,286.9373,286.69922,286.56952,286.7496,286.7908,286.6544,286.70093,286.6902,286.6149,286.94754,286.70413,286.81357,286.64584,286.69022,286.81067,286.8048,286.91547,286.69168,286.6954,286.67734,286.6838,286.86307,286.68445,286.58795,286.85214,286.743,286.76334,286.941,286.7353,286.66116,286.75244,286.6323,286.57794,286.82578,286.71786,286.87033,286.72922,286.62296,286.603,286.85703,286.72458,286.71616,286.73666,286.8482,286.79703,286.6366
